Very fun game.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great soundtrack! Great game!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"best game in 2016
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surprisingly entertaining. 4/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this game is so fun i play it every day its so fun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
good game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
love it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Its the best TD I have ever played. And I played a lots of TD games. (=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i lost my winstreak 4 times (i have 5 deaths total) because of game crashes and now my win rate is below 75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
my pc cannot run LOLOLOL jk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very fun game.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
played with my friend we came up with a whole theroy of how robo hitler and OPEC teamed up to make the bloons and how the glue is monkey ♥♥♥♥. great time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good game but to many ♥♥♥♥ing noobs dont know how to enjoy a late game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I honestly love this game! Its alot of fun! I recommend playing it :).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"is no p2w gam iz berry good, all u do is rusch on rund 13 wit grow again zebz. all u p2w nubes iz wastin maney",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Game is amazing only problem is it is so unballenced !1!1!!!!11 the camgro red balon is to op!1!11!!!!!!!!11111!! even the mighty 0-0 dart monkey cant kill it
!!1!!11!1!!11!1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hi I used to play this on my pc very much. But my pc broke just a few days ago. I decided to play on my dad's laptop but I am getting this error ""Failed to start game (unknown error)"" if anyone knows about this error and has a solution. Please tell me. On my old pc I had over 600 battle score and I do not wanna give up the game

(currently looking for solutions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
good game broo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this game is like life. you defend yourself until someone with better offenses than you enters your base and destroys your tower.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There is a bannana tree so 10/10 Bannanas are life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I like it, I have followed the Bloons series for a long time, even tho this is more for mobile, it isn't bad.
The item shop uses money you gain ingame, and for now the prices seems fine. but not for the boost at 5000.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thank you for finally bringing the game out on pc, Great game just like the one on mobile.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"so fun so adicting
1000000/1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I have been a fan of the mobile version and the flash version for years. SO glad this finally came to PC!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i have played worse games 7/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good Game! Only thing thats annoying is when i try to log on to my Bloons account it says im Already Online on another device even thoug i deleted it on my iPad!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I love this game i played it when it first cam eout on the ipad and i loved it now that its on computer its even better,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" -Called out ZOMG
-Enemy panic
-LMFAO
-Enemy sent 2 Big Red Bloon
-I Lost",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I LOST 5000 medallions when i tried to buy the cobra SCREW YOU NINJA KIWI I WANT MY MEDALLIONS!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
